Depth,PEF,RHOB,NPHI,GR,AT90,facies
6635.2,3.0434,2.5165,0.2089,156.51,235.0868,1
6637.1,3.1119,2.5241,0.2018,149.7543,338.2838,1
6639.8,3.1609,2.5564,0.1629,125.4802,323.4248,1
6641.7,3.0206,2.4931,0.1886,147.5037,236.1533,1
6643.9,3.0547,2.5266,0.1973,153.4185,208.6285,1
6645.9,3.3825,2.5013,0.1854,141.7198,301.7862,1
6647.8,3.1881,2.5239,0.2006,162.4255,257.4955,1
6650,3.3553,2.5727,0.1899,151.6454,129.2715,1
6652,3.2482,2.5241,0.1993,164.7114,220.8669,1
6654,3.1845,2.5264,0.228,160.8098,217.5255,1
6657.7,3.1923,2.5287,0.1936,152.3648,180.183,1
6660,3.1,2.5349,0.1993,159.8309,175.634,1
6662,3.256,2.5599,0.1869,149.1237,276.0723,1
6665.6,3.3273,2.5766,0.1919,146.2466,373.3575,3
6667.6,3.094,2.5131,0.1971,157.8112,277.6281,3
6669.1,3.0392,2.483,0.1861,160.2038,389.5064,1
6669.7,3.028,2.482,0.1971,162.8915,206.5386,1
6671.7,3.0884,2.5133,0.1817,152.0166,206.846,1
6673.8,3.3094,2.5205,0.1824,162.4528,255.0469,3
6675.6,2.7527,2.4615,0.1971,164.3793,388.7799,1
6678.7,2.9587,2.485,0.2098,171.1186,171.4039,1
6680,3.0243,2.496,0.2123,172.7791,261.2236,1
6682,3.0962,2.4794,0.214,191.9304,223.5904,1
6684,3.1693,2.501,0.2236,190.9732,230.73,1
6686,3.1693,2.5055,0.1792,168.6534,255.4725,1
6688,3.048,2.5222,0.1913,153.8691,251.9358,3
6690,3.0401,2.5171,0.1779,150.3716,230.723,1
6691.9,3.1643,2.538,0.1997,163.6689,199.091,3
6693.9,3.1481,2.5432,0.1739,144.5597,130.2618,1
6696,3.0954,2.5305,0.1603,144.0335,161.4184,1
6700,3.1531,2.5265,0.2135,179.2028,114.0763,4
6702.1,3.0207,2.4821,0.1944,175.8171,388.3696,1
6704.2,3.9873,2.6053,0.1727,140.8952,281.3889,1
6706,3.7097,2.5933,0.1744,169.2621,206.2951,1
6708,3.4013,2.5326,0.2263,187.2826,217.886,1
6709.9,3.5029,2.5042,0.2607,217.0352,266.5193,1
6712.1,3.451,2.5383,0.2249,202.1086,231.7131,1
6714,3.4722,2.536,0.2148,186.6757,204.0397,1
6716.3,3.5234,2.5811,0.1845,162.8982,242.2594,1
6719,3.3053,2.525,0.2419,204.5505,324.3703,1
6720.5,3.186,2.5168,0.2193,222.3568,192.7456,1
6722.6,3.5042,2.5706,0.2407,210.0223,113.589,2
6724.4,3.5692,2.5486,0.2477,221.7173,73.2806,1
6727,3.8053,2.5852,0.1939,184.9052,256.5224,1
6729,4.2557,2.573,0.1695,207.5594,184.499,1
6731,4.4061,2.6689,0.1339,193.0805,155.8959,2
6734,3.947,2.5868,0.1816,194.1177,267.6098,1
6736.1,3.8475,2.5763,0.1556,188.0458,98.7303,1
6738.1,3.6017,2.5525,0.2262,223.516,109.3747,1
6739.9,3.5637,2.5299,0.2154,191.2823,319.8805,1
6742.1,3.5594,2.5353,0.212,198.3768,130.4694,1
6744.1,3.4906,2.5928,0.1984,190.3113,46.0375,1
6745.9,3.8194,2.5655,0.1996,199.0799,180.9448,4
6750.2,4.0424,2.6277,0.1196,123.901,430.1581,3
6752.6,3.8933,2.5884,0.1599,195.8645,199.1625,2
6754.5,3.8633,2.5889,0.1151,134.431,829.5419,3
6756.4,3.7519,2.6509,0.1187,142.3937,120.308,3
6758.3,3.6546,2.6283,0.1378,163.5367,38.2316,1
6760.15,3.854,2.5519,0.1572,177.0052,370.222,3
6762.3,3.6219,2.5591,0.1414,191.5007,271.2109,3
6765,3.3716,2.5746,0.1368,213.0096,353.1487,2
6769.1,3.8256,2.6567,0.094,143.7786,310.7026,1
6771.8,3.5593,2.5665,0.1516,201.0151,221.7001,3
6773.9,3.6951,2.5963,0.1196,171.8287,175.9243,1
6775.1,3.5884,2.602,0.1382,183.6014,142.4422,1
6780.6,3.4398,2.578,0.1477,231.5359,338.1531,1
6782.2,3.9544,2.6123,0.1235,196.2101,253.416,1
6784.3,3.6779,2.6644,0.1176,185.5056,45.481,1
6794,4.7553,2.7672,0.0819,215.6454,10.3764,2
