Depth,Corrected porosity,Magnetic Number,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Pyrite,Orthoclase Feldspar,Oglioclase Feldspar,Mixed Clays,Albite,Anhydrite,Siderite,Apatite,Aragonite
6524.2,5.3,4.5,5.58,43.8,2.8,0.8,19.9,0,0.3,3.1,0.9,0,0,15.6,4.6,0.5,5.1,1.4,1
6526.1,4.14,5,3.2,39.4,10.4,0.8,18,0,0,1.3,0.4,0,4.8,12.2,4,0,8.5,0.4,0
6527.7,5.11,3.5,6.01,34.8,0,0,25.5,0,0.7,0.9,0,0,0.3,20.8,6.2,0,5.9,4.5,0.4
6529.2,3.86,4.5,3.46,37.8,10.2,0,24.5,0,0,2.3,0,0,5.4,2.4,2.3,0.4,8.2,6.4,0
6531.7,4.8,4.5,4.68,38.7,1.5,0,28.2,0,0.1,0.7,1.7,0,0,15.7,3.7,0.1,5.5,2.6,1.6
6534,4.38,0,5.2,29,0,0,24.2,0,0.4,0,0,0.1,4.4,27.1,5.8,0.2,6.8,1.6,0.4
6535.8,4.46,4,4.87,25.3,6.3,0,25.5,0,0,4.4,0,0,0,15.5,9.6,0,5.6,7.7,0
6538,4.14,7.5,4.36,29.1,9.2,0,26.5,0,0,2.2,0.6,0,0,9.8,9.8,0,6.2,6.5,0
6540,1.47,2.5,1.24,14.4,28.5,0,17.2,0,0,2.8,1.9,0,0.4,14.2,10.5,0,4.9,5.1,0
6542.1,5.88,10,5.15,39.5,0,0,24.8,0,0,0,0,0,3.3,8.2,5.8,0,6.4,12,0
6543,7.11,4.5,3.91,59.4,0,1.5,13.1,0,0,1.1,0,0,0,0.1,5.8,0,5,14,0
6544.1,6.86,7.5,4.42,54.7,0,0,11.6,0,0,2.3,0,0,1.6,9.6,7.3,0,5.7,6.9,0.3
6546.2,6.17,7.5,3.59,51.2,0,0.4,21.3,0,0,0,0,0,3.5,5.9,4.5,0.2,7.1,5.9,0.2
6548.3,6.31,6.5,4.69,44.8,0,0,26.3,0,0,0,0,0,2.3,14.2,5.5,0,5.6,1.2,0.3
6550.6,4.64,4.3,3.96,35.7,5.5,0,28.6,0,0,1.6,0,0,2.2,2.9,11.3,0,4.7,7.4,0
6552.5,5.19,5.7,2.9,42.8,0,0,29.6,0,0,1,2.1,0,0,6.3,8.3,0,3.5,6,0.6
6554.6,2.99,5,2,25.4,34.9,0.1,10,0.4,0,3.8,0,0,0.6,0,9,0,5.2,10.7,0
6556.8,6.15,6.5,3.86,43.7,0,0,27.8,0,0,1.8,0,0,2.5,5.4,8.7,0,4.3,5.9,0
6558.8,5.81,0,5.02,41.8,0,0,29.3,0,0,3.6,0,0,0.2,6.8,7.7,0,4.9,5.6,0
6560.6,5.28,6.5,3.9,37.5,0,1.2,28.5,0,0,0,2.2,0.6,0,20,5.8,0,4.1,0,0
6561.8,1.8,6,0.8,12.1,61.9,0,5.7,0,0,2.9,5.1,0,1.2,0,3.7,0,5.8,1.7,0
6563.6,4.51,6,3.35,20.9,4.7,21.8,23.9,0,0,0.2,0,0,0,8.6,11,0,4.1,4.7,0
6565.35,2.59,4.5,1.3,8.5,52.4,14.8,8,0,0,5.6,0,0,1.7,0,1.4,0,6.7,0.8,0
6567,5.18,0,3.72,41.9,0,0,30.2,0,0,0,0,0,0,10.8,9.6,0,2.3,5.2,0
6568,6.06,7.5,3.95,38.7,0,0.6,21.3,0,0,2,3.2,0,1.7,22.5,4.1,0,4.7,1.2,0
6570.3,5.89,5.5,4.53,47,0,0,30.7,0,0,0,0,0,0,8.7,6,0,3.1,4.4,0.2
6572,5.76,7.8,4.36,44.2,0,0,26.8,0,0,0,0.4,0,0,19.9,6.4,0,2.2,0,0
6573.8,4.99,0,4.66,31.2,22.4,0,22.4,0,0,1.5,0,0,0,3.7,10.2,0,2.8,5.8,0
6575.65,5.72,4.5,5.18,44.1,0,0,29.8,0,0,1,0,0,0,4.2,8.9,0,4.7,7.3,0
6578.8,5.12,6.5,5.76,37.4,0.5,0,26.8,0,0,0,3.1,0,3.7,12.6,7.1,0,5.7,3.1,0
6580.9,5.75,5.5,5.09,41.7,4.1,0,29.4,0,0,1,0,0,1.5,5,8.7,0,4.7,3.9,0
6583.1,4.75,6.5,2.97,36.2,29.9,0,7.1,0,0,1.1,0,0,3.9,7.4,4.9,0,5.9,3.5,0
6585.3,1.41,4.5,4.91,25.5,2.9,0.1,26.1,0,0,0.6,4,0,0.6,15.9,13.2,0,5.2,5.9,0
