Well ori,Well,DEPTH,PEF,RHOB,NPHI,GR,AT90
4.21E+11,1,7373.5,4.5853,2.6142,0.2152,124.5228,4.8862
4.21E+11,1,7374,4.6468,2.6202,0.2095,123.9156,4.9011
4.21E+11,1,7374.5,4.6018,2.6281,0.2129,121.3342,5.0594
4.21E+11,1,7375,4.4834,2.6381,0.2043,117.052,5.2085
4.21E+11,1,7375.5,4.3958,2.6261,0.2096,116.8353,5.2702
4.21E+11,1,7376,4.4566,2.6154,0.2078,116.4707,5.0564
4.21E+11,1,7376.5,4.6336,2.61,0.2163,119.3501,4.93
4.21E+11,1,7377,4.8509,2.6082,0.2242,122.2161,4.7932
4.21E+11,1,7379.5,4.9888,2.6161,0.2277,124.3132,4.474
4.21E+11,1,7380,4.9818,2.6025,0.2203,121.4927,4.5442
4.21E+11,1,7572,4.1243,2.6551,0.1568,100.8854,10.0556
4.21E+11,1,7594.5,4.0557,2.6641,0.1675,103.1178,8.3831
4.21E+11,1,7595,4.0269,2.6569,0.1724,105.1204,8.0344
4.21E+11,1,7595.5,4.0142,2.6508,0.1763,106.1617,7.7389
4.21E+11,1,7596,3.9832,2.6502,0.1736,106.9424,7.7047
4.21E+11,1,7596.5,3.9802,2.649,0.1759,106.8839,7.7682
4.21E+11,1,7597,3.9889,2.6518,0.1694,106.2446,7.9856
4.21E+11,1,7597.5,4.0338,2.6523,0.1702,103.8409,8.1027
4.21E+11,1,7598,4.0848,2.6508,0.1659,104.127,8.255
4.21E+11,1,7598.5,4.1134,2.6484,0.172,104.8618,8.4232
4.21E+11,1,7599,4.1236,2.6433,0.1746,107.4685,8.2865
4.21E+11,1,7599.5,4.1021,2.6424,0.176,109.3339,7.9968
4.21E+11,1,7600,4.0808,2.6423,0.1749,109.8593,8.0198
4.21E+11,1,7600.5,4.0524,2.6457,0.1763,108.5975,8.1811
4.21E+11,1,7601,4.0385,2.6452,0.1793,107.4731,8.1912
4.21E+11,1,7601.5,4.0098,2.6458,0.1829,107.6159,8.1182
4.21E+11,1,7602,3.9802,2.646,0.1846,109.0521,7.9862
4.21E+11,1,7602.5,3.9948,2.6423,0.1878,109.6898,7.8513
4.21E+11,1,7603,4.0304,2.6407,0.1859,109.6402,7.8294
4.21E+11,1,7603.5,4.0712,2.6414,0.1826,108.2797,8.0447
4.21E+11,1,7604,4.1023,2.6448,0.1833,107.8459,8.2223
4.21E+11,1,7604.5,4.1229,2.648,0.1801,105.9614,8.2518
4.21E+11,1,7605,4.1299,2.6504,0.1787,104.7865,8.2435
4.21E+11,1,7605.5,4.0936,2.6549,0.1686,102.3559,8.2071
4.21E+11,1,7606,4.0836,2.6482,0.1674,102.645,7.9575
4.21E+11,1,7606.5,4.0767,2.6419,0.1673,104.0035,7.5308
4.21E+11,1,7607,4.1007,2.6331,0.1786,107.2759,7.4151
4.21E+11,1,7607.5,4.1052,2.6379,0.1821,108.8357,7.7898
4.21E+11,1,7608,4.1222,2.6424,0.1812,105.3297,8.162
4.21E+11,1,7608.5,4.13,2.6509,0.175,101.9345,8.3446
4.21E+11,1,7609.5,4.0952,2.6655,0.1698,102.8039,8.7356
4.21E+11,1,7610,4.068,2.6673,0.1659,105.7502,9.0325
4.21E+11,1,7610.5,4.0618,2.6623,0.1663,107.8501,9.2354
4.21E+11,1,7611,4.0911,2.6575,0.169,106.8778,9.3967
4.21E+11,1,7611.5,4.1397,2.654,0.1744,103.4609,9.4712
4.21E+11,1,7612,4.2094,2.6482,0.1742,102.0611,9.7238
4.21E+11,1,7612.5,4.2522,2.6451,0.1673,100.5597,10.0617
4.21E+11,1,7616,4.2125,2.6569,0.1628,103.6742,10.8386
4.21E+11,1,7616.5,4.2289,2.6537,0.1653,103.709,10.9986
4.21E+11,1,7617,4.2508,2.6518,0.1635,102.7304,11.1885
4.21E+11,1,7622,4.2422,2.6588,0.1544,101.3315,11.3675
4.21E+11,1,7626.5,4.1464,2.6514,0.1619,100.2121,10.814
4.21E+11,1,7627,4.1276,2.6471,0.1627,100.4206,10.7321
4.21E+11,1,7627.5,4.1179,2.6399,0.1606,101.1844,10.5013
4.21E+11,1,7636,3.9994,2.6531,0.1697,100.0792,8.4491
4.21E+11,1,7636.5,4.017,2.6451,0.1761,103.2999,8.3427
4.21E+11,1,7637,4.0274,2.6389,0.176,107.0086,8.0534
4.21E+11,1,7637.5,4.0222,2.6356,0.18,108.6633,7.7757
4.21E+11,1,7638,4.0258,2.6315,0.1852,109.9749,7.3818
4.21E+11,1,7638.5,4.0349,2.6301,0.187,109.4445,6.9868
4.21E+11,1,7639,4.0542,2.6299,0.1949,110.2384,6.9271
4.21E+11,1,7639.5,4.0544,2.6355,0.191,111.2398,7.2402
4.21E+11,1,7640,4.0597,2.639,0.1905,108.3814,7.5504
4.21E+11,1,7640.5,4.0469,2.6423,0.178,108.915,7.5367
4.21E+11,1,7641,4.1033,2.6338,0.1807,107.333,7.364
4.21E+11,1,7641.5,4.2819,2.6376,0.1837,109.4938,7.0229
4.21E+11,1,7642,4.5667,2.6518,0.1877,105.9603,6.7946
4.21E+11,1,7642.5,4.814,2.6646,0.1752,104.3017,7.3404
4.21E+11,1,7643,4.9601,2.6182,0.1832,107.4834,7.3369
4.21E+11,1,7645,4.8222,2.6105,0.205,118.602,6.4519
4.21E+11,1,7645.5,4.5254,2.6364,0.1756,113.2069,7.5182
4.21E+11,1,7646,4.2942,2.6438,0.1576,108.3587,8.7525
4.21E+11,1,7646.5,4.1608,2.6416,0.1535,105.7285,8.6449
4.21E+11,1,7647,4.1231,2.633,0.1551,106.9214,8.0336
4.21E+11,1,7647.5,4.1775,2.6179,0.1623,109.34,7.6261
4.21E+11,1,7648,4.2917,2.6181,0.1731,111.3208,7.3344
4.21E+11,1,7648.5,4.3908,2.6259,0.1814,114.0155,7.0396
4.21E+11,1,7649,4.3108,2.6423,0.1688,112.7479,7.8348
4.21E+11,1,7649.5,4.144,2.6522,0.1596,112.2118,9.3901
4.21E+11,1,7650,4.0124,2.6644,0.1498,111.0907,10.0967
4.21E+11,1,7650.5,4.0097,2.6718,0.1495,111.2853,10.4762
4.21E+11,1,7651,4.0537,2.6788,0.1437,108.0829,10.6715
4.21E+11,1,7651.5,4.1043,2.6884,0.1416,104.0118,10.78
4.21E+11,1,7652.5,4.0566,2.6729,0.1431,102.6832,9.0518
4.21E+11,1,7653,4.0348,2.6506,0.1489,107.0812,8.3516
4.21E+11,1,7653.5,4.1364,2.6246,0.1598,114.3706,7.669
4.21E+11,1,7654,4.3292,2.6347,0.1697,116.5,7.356
4.21E+11,1,7654.5,4.4249,2.6402,0.1818,119.0332,7.7618
4.21E+11,1,7655,4.3279,2.6505,0.1924,121.668,8.3951
4.21E+11,1,7655.5,4.0951,2.6392,0.1958,125.8216,9.4461
4.21E+11,1,7656,3.9079,2.6297,0.199,130.1416,10.5863
4.21E+11,1,7656.5,3.8111,2.624,0.2108,132.9116,11.8169
4.21E+11,1,7657,3.8123,2.6308,0.2139,131.0347,13.1881
4.21E+11,1,7657.5,3.8389,2.6411,0.2058,127.6144,14.4171
4.21E+11,1,7658,3.8662,2.6472,0.1978,126.5998,15.9405
4.21E+11,1,7658.5,3.8768,2.647,0.1999,126.48,15.9167
4.21E+11,1,7659,3.9158,2.6356,0.2005,126.6861,15.9071
4.21E+11,1,7659.5,3.9689,2.6223,0.2078,126.2268,17.7545
4.21E+11,1,7660,4.0052,2.6129,0.2104,125.1951,19.3414
4.21E+11,1,7660.5,3.9847,2.6157,0.2217,126.4937,20.1214
4.21E+11,1,7661,3.9527,2.6206,0.2245,130.1718,18.202
4.21E+11,1,7661.5,3.9054,2.6253,0.2212,133.5602,16.5193
4.21E+11,1,7662,3.8676,2.6274,0.2242,134.8773,15.6121
4.21E+11,1,7662.5,3.8424,2.6281,0.2278,133.9857,14.3632
