Depth,Corr_por,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Mixed_Clays,Albite,Siderite,Apatite,Aragonite,Clays,Carbonate,GR,RHOB,RHOBE_Norm,TNPH
6515,4.13,3.46,30.3,3.7,0,28.1,0,0.3,2.7,17.7,6.9,6.5,3.8,0,48.8,10.1,65.58,2.68,2.67,7.6
6517.3,3.82,3.23,20,24.3,1.7,20,0,0,3.2,0,4.2,7.6,8.3,0,23.3,33.6,112.34,2.65,2.65,13.1
6519.4,4.59,4.72,36.7,8.1,0,16.1,0,0.8,5.2,17.5,5.8,7,2.5,0.2,39.7,15.3,153.29,2.55,2.55,21.4
6520.8,3.72,2.57,29.4,27.6,0,9.1,0,0,4,3.2,0,9.9,2.1,0,16.3,37.4,144.73,2.54,2.53,20.1
6522.3,5.57,4.78,30.6,0,0,32.8,0,0,0,17.7,5.5,5.4,1.2,0,50.5,5.4,142.4,2.5,2.5,18
6524.2,5.3,5.58,43.8,2.8,0.8,19.9,0,0.3,3.1,15.6,4.6,5.1,1.4,1,39.1,9.8,151.53,2.48,2.47,20.5
6526.1,4.14,3.2,39.4,10.4,0.8,18,0,0,1.3,12.2,4,8.5,0.4,0,31.4,19.6,144.36,2.51,2.5,18.8
6527.7,5.11,6.01,34.8,0,0,25.5,0,0.7,0.9,20.8,6.2,5.9,4.5,0.4,47.9,6.3,143.57,2.48,2.48,20
6529.2,3.86,3.46,37.8,10.2,0,24.5,0,0,2.3,2.4,2.3,8.2,6.4,0,29.2,18.4,142.76,2.49,2.48,20.9
6531.7,4.8,4.68,38.7,1.5,0,28.2,0,0.1,0.7,15.7,3.7,5.5,2.6,1.6,44.6,8.6,143.24,2.47,2.46,19.6
6534,4.38,5.2,29,0,0,24.2,0,0.4,0,27.1,5.8,6.8,1.6,0.4,51.7,7.3,154.42,2.47,2.47,21.1
6535.8,4.46,4.87,25.3,6.3,0,25.5,0,0,4.4,15.5,9.6,5.6,7.7,0,45.4,11.9,162.77,2.51,2.51,21
6538,4.14,4.36,29.1,9.2,0,26.5,0,0,2.2,9.8,9.8,6.2,6.5,0,38.5,15.5,272.56,2.56,2.56,20
6540,1.47,1.24,14.4,28.5,0,17.2,0,0,2.8,14.2,10.5,4.9,5.1,0,34.2,33.4,209.33,2.55,2.54,20.4
6542.1,5.88,5.15,39.5,0,0,24.8,0,0,0,8.2,5.8,6.4,12,0,33.1,6.4,357.57,2.61,2.6,16.2
6543,7.11,3.91,59.4,0,1.5,13.1,0,0,1.1,0.1,5.8,5,14,0,14.3,6.5,363.91,2.66,2.66,12
6544.1,6.86,4.42,54.7,0,0,11.6,0,0,2.3,9.6,7.3,5.7,6.9,0.3,23.6,6,210.52,2.68,2.67,10.2
6546.2,6.17,3.59,51.2,0,0.4,21.3,0,0,0,5.9,4.5,7.1,5.9,0.2,27.2,7.6,155.19,2.46,2.46,16.3
6548.3,6.31,4.69,44.8,0,0,26.3,0,0,0,14.2,5.5,5.6,1.2,0.3,40.5,5.8,193.98,2.43,2.42,16.4
6550.6,4.64,3.96,35.7,5.5,0,28.6,0,0,1.6,2.9,11.3,4.7,7.4,0,33.1,10.3,140.1,2.46,2.46,15.6
6552.5,5.19,2.9,42.8,0,0,29.6,0,0,1,6.3,8.3,3.5,6,0.6,36.8,4,166.11,2.5,2.5,16.2
6554.6,2.99,2,25.4,34.9,0.1,10,0.4,0,3.8,0,9,5.2,10.7,0,14.2,40.1,194.02,2.58,2.57,14.6
6556.8,6.15,3.86,43.7,0,0,27.8,0,0,1.8,5.4,8.7,4.3,5.9,0,35,4.3,168.03,2.54,2.53,15.2
6558.8,5.81,5.02,41.8,0,0,29.3,0,0,3.6,6.8,7.7,4.9,5.6,0,39.8,4.9,181.52,2.53,2.52,15
6560.6,5.28,3.9,37.5,0,1.2,28.5,0,0,0,20,5.8,4.1,0,0,48.6,5.3,173.07,2.51,2.5,16.6
6561.8,1.8,0.8,12.1,61.9,0,5.7,0,0,2.9,0,3.7,5.8,1.7,0,8.6,67.7,185.34,2.51,2.51,17.2
6563.6,4.51,3.35,20.9,4.7,21.8,23.9,0,0,0.2,8.6,11,4.1,4.7,0,32.7,30.6,182.71,2.52,2.51,18.7
6565.35,2.59,1.3,8.5,52.4,14.8,8,0,0,5.6,0,1.4,6.7,0.8,0,13.6,73.9,203.93,2.56,2.55,19.9
6567,5.18,3.72,41.9,0,0,30.2,0,0,0,10.8,9.6,2.3,5.2,0,41,2.3,142.5,2.62,2.61,18.4
6568,6.06,3.95,38.7,0,0.6,21.3,0,0,2,22.5,4.1,4.7,1.2,0,45.8,5.3,113.38,2.65,2.65,14.5
6570.3,5.89,4.53,47,0,0,30.7,0,0,0,8.7,6,3.1,4.4,0.2,39.4,3.3,178.07,2.52,2.51,20.3
6572,5.76,4.36,44.2,0,0,26.8,0,0,0,19.9,6.4,2.2,0,0,46.7,2.2,159.07,2.5,2.49,18.7
6573.8,4.99,4.66,31.2,22.4,0,22.4,0,0,1.5,3.7,10.2,2.8,5.8,0,27.6,25.3,157.69,2.48,2.48,17.5
6575.65,5.72,5.18,44.1,0,0,29.8,0,0,1,4.2,8.9,4.7,7.3,0,35,4.7,155.35,2.47,2.46,17.5
6578.8,5.12,5.76,37.4,0.5,0,26.8,0,0,0,12.6,7.1,5.7,3.1,0,39.4,6.2,180.68,2.44,2.44,19
6580.9,5.75,5.09,41.7,4.1,0,29.4,0,0,1,5,8.7,4.7,3.9,0,35.4,8.8,169.14,2.49,2.48,16.2
6583.1,4.75,2.97,36.2,29.9,0,7.1,0,0,1.1,7.4,4.9,5.9,3.5,0,15.6,35.8,176.58,2.49,2.48,18
6585.3,1.41,4.91,25.5,2.9,0.1,26.1,0,0,0.6,15.9,13.2,5.2,5.9,0,42.6,8.2,187.88,2.53,2.52,17.6
6587,4.48,3.89,23.6,12.3,0,18.1,4.1,0,2.2,0,10.6,3,26.1,0,24.4,15.3,121.13,2.66,2.66,8.7
6589,5.22,4.69,33.7,0.7,0,29.6,0,0,0,11.7,11.9,4.8,6,0,41.4,5.6,142.77,2.62,2.62,13.2
6591.4,4.4,2.64,23.2,2.4,33.1,15.5,0,0,0,8.8,8.9,5.7,1.9,0,24.3,41.1,231.95,2.52,2.51,18.8
6593,5.34,4,33,3.1,3.3,25.7,0,0,2,4.1,12.5,2.7,13.7,0,31.8,9.1,190.2,2.52,2.52,19.6
6594.6,5.54,3.71,40.9,2.8,1.7,21.3,0,0,0.9,14.9,7.6,5.2,1.4,0.3,37.2,10,145.25,2.6,2.59,15.7
6596.05,7.02,3.38,38,0,4.2,14.7,3.9,0,2.2,0,5.8,3.7,27.4,0,20.8,8,168.68,2.6,2.6,14.2
6598.1,6.71,4.11,51.4,0,0,28.2,0,0,0,9.4,4.1,4.8,0,1.3,37.7,6.2,222.78,2.59,2.58,15
6600,5.91,5.3,50.3,0,0.2,20.6,0,0,0.6,8.7,9,4.5,4.7,1.3,29.9,6,140.74,2.48,2.47,15.7
