Corr_por,TOC,Quartz,Calcite,Illite,Mixed_Clays,Clays,Carbonate
5.04,4.94,28.5,0,35.4,21,56.4,4.1
4.47,4.99,28.2,0,36.2,20.3,56.5,5
4.61,5.09,28.1,0,39.1,18.6,57.7,3.7
4.01,4.92,33.2,0,40,8.7,48.7,5.2
3.77,4.42,33.2,0,33,19.4,52.6,5.1
3.38,6.76,31.1,0,26.2,26.5,52.6,5.4
3.01,5.86,32.6,0,23.7,28.6,52.4,6.9
3.58,5.49,30.8,0.2,30.7,12.1,42.9,17.5
3.99,6.81,46.3,0,26.4,10.8,37.2,8.4
5.43,3.67,37.8,0,20.5,21.1,41.6,15.8
4.38,3.9,24.5,0,24.3,22.2,46.4,20
2.05,6.77,20.1,0,32.9,27.5,60.4,5.1
4.82,5.83,40.4,0,29.8,15.9,45.8,5.8
4.13,6.69,42.1,0,31,9.6,41.6,7.1
4.51,5.86,32.1,0,31.1,23.9,55,5.8
3.96,7.48,29.7,0,35.9,23.3,59.1,4.5
3.42,7.21,26.7,0,28,25.8,56.4,6.3
3.77,5.71,37.9,0,26.4,22.5,48.9,5.4
